id_city_name,city_name,zip_code,department_code
333,Pasly,02200,02
334,Prémontré,02320,02
335,Saint-Gobain,02410,02
336,Saint-Quentin,02100,02
337,Septmonts,02200,02
338,Sinceny,02300,02
339,Sissonne,02150,02
340,Soissons,02200,02
341,Tergnier,02700,02
342,Thenelles,02390,02
343,Tupigny,02120,02
344,Venizel,02200,02
345,Vervins,02140,02
346,Vesles-et-Caumont,02350,02
347,Villeneuve-Saint-Germain,02200,02
348,Villers-Cotterêts,02600,02
349,Viry-Noureuil,02300,02
350,Abrest,03200,03
351,Avermes,03000,03
352,Avrilly,03130,03
353,Bayet,03500,03
354,Bellerive-sur-Allier,03700,03
355,Bessay-sur-Allier,03340,03
356,Bourbon-l'Archambault,03160,03
357,Busset,03270,03
358,Charmeil,03110,03
359,Chassenard,03510,03
360,Châtel-de-Neuvre,03500,03
361,Chemilly,03210,03
362,Chevagnes,03230,03
363,Commentry,03600,03
364,Cosne-d'Allier,03430,03
365,Creuzier-le-Vieux,03300,03
366,Cusset,03300,03
367,Désertines,03630,03
368,Domérat,03410,03
369,Dompierre-sur-Besbre,03290,03
370,Le Donjon,03130,03
371,Doyet,03170,03
372,Escurolles,03110,03
373,Ferrières-sur-Sichon,03250,03
374,La Ferté-Hauterive,03340,03
375,Gannat,03800,03
376,Garnat-sur-Engièvre,03230,03
377,Jaligny-sur-Besbre,03220,03
378,Magnet,03260,03
379,Marcenat,03260,03
380,Molinet,03510,03
381,Monteignet-sur-l'Andelot,03800,03
382,Saint-Martin-de-Gurson,24610,24
383,Saint-Méard-de-Drône,24600,24
384,Saint-Méard-de-Gurçon,24610,24
385,Saint-Médard-de-Mussidan,24400,24
386,Saint-Pardoux-la-Rivière,24470,24
387,Saint-Pierre-de-Chignac,24330,24
388,Sarlat-la-Canéda,24200,24
389,Savignac-les-Églises,24420,24
390,Siorac-en-Périgord,24170,24
391,Terrasson-Lavilledieu,24120,24
392,Thenon,24210,24
393,Thiviers,24800,24
394,Tourtoirac,24390,24
395,Trélissac,24750,24
396,Vergt,24380,24
