id_place,coordonates,longitude,latitude,adress,id_city_name
I130560004,"43.3986, 5.0419",5.0419,43.3986,allée pablo picasso,75
I130560006,"43.422878, 5.059064",5.059064,43.422878,ROUTE D ISTRES,75
I130560007,"43.41276, 5.048594",5.048594,43.41276,Avenue FRANCIS TURCAN,75
I130560009,"43.411553, 5.039114",5.039114,43.411553,BD DES RAYETTES,75
I130560010,"43.417238, 5.03224",5.03224,43.417238,Boulevard DES RAYETTES,75
I130560040,"43.422356, 5.057797",5.057797,43.422356,ROUTE D'ISTRES,75
I130600005,"43.47416, 5.49437",5.49437,43.47416,AVENUE JEAN PETIT,76
I130630005,"43.594, 5.0013",5.0013,43.594,QUARTIER DES MOLIERES,77
I130630006,"43.594, 5.0013",5.0013,43.594,AVENUE DE L OLYMPIE,77
I130630007,"43.5933, 5.0006",5.0006,43.5933,AVENUE DE L'OLYMPIE,77
I130630012,"43.5819, 5.0057",5.0057,43.5819,BOULEVARD  DU 14 JUILLET,77
I130630019,"43.59239, 5.01136",5.01136,43.59239,Chemin du creux,77
I130700001,"43.283265, 5.51189",5.51189,43.283265,LA PENNE SUR HUVEAUNE,78
I130710003,"43.42, 5.296",5.296,43.42,CHEMINE DE LA CAPELANE,79
I130710019,"43.4187, 5.3387",5.3387,43.4187,ALLEE DE L'ENSOLEIADO,79
I130710022,"43.4086, 5.3135",5.3135,43.4086,CHEMIN DE LA FERME,79
I130750002,"43.3533, 5.46891",5.46891,43.3533,rue colette besson,80
I130760007,"43.80991, 5.0091",5.0091,43.80991,AVENUE DU STADE,81
I130770005,"43.412493520280485, 4.995906651020051",4.995906651020051,43.412493520280485,Rue Francois Billoux,82
I130770006,"43.41854891692962, 4.992226660251618",4.992226660251618,43.41854891692962,Avenue de la Provence,82
I130770008,"43.4079, 4.9939",4.9939,43.4079,Rue Marcel Gaussorgues,82
I130780003,"43.39394, 4.79908",4.79908,43.39394,AVENUE GEORGES GABRIELLI,83
I130800001,"43.66067, 5.423",5.423,43.66067,AV DU STADE,84
I130810001,"43.49162567232234, 5.219675302505494",5.219675302505494,43.49162567232234,Avenue Victor Hugo,85
I130810003,"43.482744043282366, 5.2346071600914",5.2346071600914,43.482744043282366,AVENUE DU 8 MAI 1945,85
I130810011,"43.47658, 5.24534",5.24534,43.47658,LA PLANTADE MONTEE DU BELVEDERE,85
I130820002,"43.65379, 5.32461",5.32461,43.65379,ROUTE DE SAINT CANNAT,86
I130830002,"43.903416, 4.805201",4.805201,43.903416,PLACE DU MARCHE,87
I130840012,"43.71417, 5.30837",5.30837,43.71417,avenue de l’Europe Unie,88
I130860004,"43.346184, 5.602193",5.602193,43.346184,Avenue du Montvin,89
I130870011,"43.47659, 5.62354",5.62354,43.47659,AVENUE ROBERT BIENVENU,90
I130870012,"43.48, 5.6252",5.6252,43.48,AVENUE LOUIS ALLARD,90
I130910010,"43.61987, 5.29566",5.29566,43.61987,Bd Marcel Parraud,91
I130920009,"43.538747, 5.045674",5.045674,43.538747,quartier molleton,92
I130920017,"43.550803, 5.030026",5.030026,43.550803,ALLEE DES CIGOGNES,92
I130960004,"43.4529, 4.433",4.433,43.4529,RUE ROGER DELAGNES,93
I130970011,"43.64032, 4.80908",4.80908,43.64032,AVENUE DES ALPILLES,94
I130980004,"43.45408, 5.02088",5.02088,43.45408,BOULEVARD JEAN JAURES,95
I131000015,"43.7961, 4.8379",4.8379,43.7961,Avenue Plaisance du Touch,96
I131020002,"43.41455, 5.2418",5.2418,43.41455,BOULEVARD CHARLES DE GAULLE,97
I131030011,"43.6443, 5.1039",5.1039,43.6443,boulevard de l'europe,98
I131030012,"43.64881, 5.10018",5.10018,43.64881,RUE ROBERT SCHUMAN,98
I131030013,"43.6256, 5.105",5.105,43.6256,QUARTIER DE LURIAN,98
I131030014,"43.63505, 5.09473",5.09473,43.63505,RUE DU CAPITAINE GUIBERT,98
I131030016,"43.3854, 5.0528",5.0528,43.3854,RUE DE BOISGELIN,98
I131040005,"43.3344, 5.1077",5.1077,43.3344,31 AVENUE PIERRE MATRAJA,99
I131060005,"43.40361, 5.36337",5.36337,43.40361,Avenue du Docteur Edouard Sauze,100
I131070002,"43.43371, 5.43741",5.43741,43.43371,ROUTE DE GARDANNE,101
I131080001,"43.8094, 4.6622",4.6622,43.8094,BOULEVARD ALPHONSE DAUDET,102
I131080011,"43.80947, 4.66038",4.66038,43.80947,QUARTIER ST GEORGES,102
I131100002,"43.4466, 5.70011",5.70011,43.4466,1120 avenue marius joly,103
I131120003,"43.52571, 5.26023",5.26023,43.52571,AVENUE JULES ANDRAUD,104
I131120005,"43.53623, 5.24682",5.24682,43.53623,AVENUE ANTOINETTE BEAUCAIRE,104
I131130001,"43.59486, 5.49498",5.49498,43.59486,CHEMIN DU COLLET REDON,105
I131140004,"43.53479, 5.29482",5.29482,43.53479,LE PLATEAU,106
I131170003,"43.4207, 5.28317",5.28317,43.4207,QUARTIER LE REPOS,107
I131170005,"43.4586, 5.2439",5.2439,43.4586,AV DE LA RANGUE,107
I131170008,"43.4506, 5.2496",5.2496,43.4506,FONT SEGUGNE,107
I131170041,"43.44656395907805, 5.244461417241837",5.244461417241837,43.44656395907805,bd alfred casile,107
I192020002,"45.2222, 1.5825",1.5825,45.2222,LE BOURG,108
I192030002,"45.23666288, 1.73592792",1.73592792,45.23666288,Les Places,109
I192290009,"45.14298, 1.45297",1.45297,45.14298,le bourg,110
I192550007,"45.37754475, 1.69859985",1.69859985,45.37754475,,111
I192690007,"45.53961, 1.80085",1.80085,45.53961,les rivieres,112
I192740008,"45.19214, 1.49942",1.49942,45.19214,route du stade,113
I192750014,"45.5472, 2.31642",2.31642,45.5472,3 RUE DU STADE,114
I210030002,"47.356349, 5.038367",5.038367,47.356349,4 Rue des Fromentaux ZA les Grandes Varennes  AHUY,115
I210030003,"47.37832, 5.01543",5.01543,47.37832,Rue du puits de bois Le Charme aux lièvres,115
I210070001,"47.39227, 4.28662",4.28662,47.39227,,116
I210210002,"47.35127, 5.17822",5.17822,47.35127,Rue du Lac,117
I210210005,"47.34112, 5.18825",5.18825,47.34112,Rue de la Mairie Arc sur Tille,117
I210220001,"47.07161, 5.01591",5.01591,47.07161,5 ou 3 Rue de la Glacière,118
I210380002,"47.19793, 5.4024",5.4024,47.19793,Chemin de la Vigne Jeanneton,119
I210380003,"47.197818, 5.393872",5.393872,47.197818,Route de Flammerans,119
I210430004,"47.60506, 4.64279",4.64279,47.60506,rue du Stade Baigneux les Juifs,120
I210480001,"47.20845, 5.05589",5.05589,47.20845,Route de Broindon Barges,121
I210540014,"47.03217, 4.83975",4.83975,47.03217,Rue des Rôles,122
I210540015,"47.02796, 4.83463",4.83463,47.02796,Avenue de l'Aigue,122
I210540019,"47.03778, 4.83496",4.83496,47.03778,Rue Paul Delaborde,122
I210540037,"47.04155, 4.83595",4.83595,47.04155,Rue Edouard Joly,122
I210580002,"47.94565, 4.65096",4.65096,47.94565,Rue des Vergers,123
I210600001,"47.36747, 5.26596",5.26596,47.36747,Rue des Sports Belleneuve,124
I210870002,"47.10836, 4.65969",4.65969,47.10836,Allée de la Gare Bligny sur Ouche,125
I210920003,"47.12602, 4.78188",4.78188,47.12602,rue de la Montée Bouilland,126
I210920004,"47.13566, 4.77564",4.77564,47.13566,Route de Pont d'Ouche Bouilland,126
I211030003,"47.130331, 5.215519",5.215519,47.130331,Route de Nuits Saint Georges,127
I211050001,"47.30498, 5.18058",5.18058,47.30498,Rue des Ecoles,128
I211070001,"47.396, 5.10125",5.10125,47.396,Rue de la Mairie,129
I211270001,"47.47884, 5.07263",5.07263,47.47884,Rue des Meix Esprois,130
I211420003,"47.52205, 4.71505",4.71505,47.52205,Rue du Moulin à Vent,131
I211500001,"46.92542, 4.7371",4.7371,46.92542,Rue des Farges Le Pré Melin,132
I211630002,"47.55917, 5.27021",5.27021,47.55917,10 Rue La Chaussée,133
I211660001,"47.30007, 5.00923",5.00923,47.30007,30 bis Rue Ernest Renan,134
I211660004,"47.29772, 5.00341",5.00341,47.29772,7 Rue du Général Giraud,134
I211660005,"47.29795, 5.00483",5.00483,47.29795,9 Boulevard du Maréchal de Lattre de Tassigny,134
I211660006,"47.29188, 5.00583",5.00583,47.29188,6 Rue Edouard Herriot Chenove,134
I211660009,"47.29099, 5.01292",5.01292,47.29099,40 bis Rue du Stade Chenove,134
I211660011,"47.28868, 5.00708",5.00708,47.28868,Quartier des Grands Crus,134
I211660014,"47.29417, 5.02072",5.02072,47.29417,9 Rue des Frères Montgolfier,134
I211660015,"47.28981, 5.00906",5.00906,47.28981,7 Rue de Longvic,134
I211710001,"47.30147, 5.128354",5.128354,47.30147,Route de Dijon,135
I211710002,"47.303926, 5.127433",5.127433,47.303926,Place Pierre de Coubertin,135
I211710003,"47.299808, 5.140503",5.140503,47.299808,10 Rue des Myosotis,135
I211710007,"47.29649, 5.14072",5.14072,47.29649,Parc de La Saussaie,135
I211790002,"47.40943107087158, 5.123823881149293",5.123823881149293,47.40943107087158,Chemin de la Fontaine Mélot,136
I211860001,"47.10318, 4.921",4.921,47.10318,Parc Municipal,137
I211920001,"47.2942, 4.93947",4.93947,47.2942,Rue Eiffel,138
I212090001,"47.33208, 5.15381",5.15381,47.33208,Route de Bressey,139
I212100001,"47.24797, 4.58595",4.58595,47.24797,Créancey,140
I212130001,"47.27272, 5.12033",5.12033,47.27272,Rue Jossot,141
I212270003,"47.38751, 4.94269",4.94269,47.38751,Rue de l'Aviation,142
I212300001,"47.52061, 5.06606",5.06606,47.52061,Grand Rue,143
I212310001,"47.332, 5.05587",5.05587,47.332,17 Rue Léon Mauris,144
I212310004,"47.30712, 5.04559",5.04559,47.30712,2 Cours du Parc,144
I212310009,"47.30365, 5.01601",5.01601,47.30365,10 Rue Charles Oursel,144
I212310014,"47.339018941686966, 5.054491460323335",5.054491460323335,47.339018941686966,Boulevard Maréchal Joffre,144
I212310023,"47.32417, 4.9987",4.9987,47.32417,Avenue du Lac,144
I143380001,"49.29655, -0.06381",-0.06381,49.29655,rte de la vallee,145
I143410016,"49.14803, -0.348776",-0.348776,49.14803,chemin du val,146
I143650001,"49.30027, -0.32534",-0.32534,49.30027,rue du stade,147
I143660004,"49.13795, 0.2244",0.2244,49.13795,Chemin Saint-Hyppolite,148
I143660021,"49.16163021329339, 0.21754467485152418",0.2175446748515241,49.16163021329339,r paul cornu,149
I143660028,"49.15741, 0.22154",0.22154,49.15741,RUE DE LA TOUQUES,149
I143660029,"49.145654, 0.249294",0.249294,49.145654,RUE ROGER AINI,149
I143700001,"49.24119, -0.87933",-0.87933,49.24119,r de la fosse frandemiche,150
I143830003,"49.16292, -0.40069",-0.40069,49.16292,14 Longue Vue des Architectes,151
I144560006,"49.11183, -0.17206",-0.17206,49.11183,r du traite de rome,152
I144750001,"49.12193, -0.56524",-0.56524,49.12193,rue des écoles,153
I145140001,"49.2858835011748, 0.17718493932989077",0.1771849393298907,49.2858835011748,r de la vicomte,154
I145150007,"49.34523314240323, -0.7592403889793786",-0.7592403889793786,49.34523314240323,RUE DU 11 NOVEMBRE,155
I145560003,"49.11947, -0.38021",-0.38021,49.11947,rue de Stockholm,156
